Top N,Sharpe Ratio,Max Drawdown,Annualized Return,Annualized Volatility,Calmar Ratio,Total Return,Best Year,Worst Year,% Positive Months
4,0.6250920968682764,-0.24559423230557068,0.10215246935698863,0.14011108384432513,0.4159400178009456,4.851018392612294,0.5533868374183644,-0.1928860540724029,0.634703196347032
5,0.6425434300898707,-0.2138955140992446,0.10009233239709725,0.13157914837265303,0.46794965672190664,4.6555308087995995,0.46350363840258124,-0.1696850430607768,0.634703196347032
6,0.6317932357731599,-0.20089288141353684,0.0952227121244833,0.12547505119382518,0.47399744308743275,4.21769845387611,0.41526042478843683,-0.1417020051491955,0.6255707762557078
7,0.6459144803974373,-0.19248475869240864,0.0949984227602707,0.12169899342788353,0.4935373761830075,4.198324984250677,0.37488464214909323,-0.128143114186121,0.6164383561643836
